customer_id,customer_name,city,state,total_orders,lifetime_value,total_items,first_order,last_order
883,Gilberte Duke,El Paso,TX,1,13107.43,7.0,2017-04-21,2017-04-21
226,Kiana Rivera,Richmond Hill,NY,1,13033.59,7.0,2017-11-04,2017-11-04
175,Nova Hess,Duarte,CA,2,13023.92,8.0,2016-01-03,2018-04-11
1438,Lee Dunn,San Jose,CA,1,12980.93,7.0,2017-06-03,2017-06-03
441,Dorthea Walker,Port Washington,NY,1,12965.74,6.0,2016-08-07,2016-08-07
310,Gilberto Parsons,Middle Village,NY,1,12935.94,6.0,2018-01-23,2018-01-23
140,Cleopatra Tate,East Elmhurst,NY,1,12909.91,9.0,2017-08-12,2017-08-12
803,Bernardina Cooper,Whitestone,NY,1,12867.95,5.0,2017-10-31,2017-10-31
231,Jenee Rasmussen,Sacramento,CA,2,12861.87,13.0,2017-12-14,2018-04-26
116,Merlene Vinson,Euless,TX,3,12793.62,13.0,2016-10-28,2018-04-15
1070,Olimpia Mays,Oakland Gardens,NY,1,12774.24,6.0,2017-07-15,2017-07-15
334,Somer Jordan,Huntington Station,NY,1,12663.95,5.0,2017-09-08,2017-09-08
1403,Mila Moody,Troy,NY,1,12595.07,5.0,2017-06-21,2017-06-21
86,Lissa Vargas,Oswego,NY,2,12551.98,13.0,2016-03-18,2018-04-05
700,Collene Knox,Corpus Christi,TX,1,12541.76,4.0,2017-03-18,2017-03-18
105,Marget Hodge,Woodhaven,NY,1,12461.54,7.0,2016-05-05,2016-05-05
95,Letitia Franco,Saratoga Springs,NY,1,12433.45,5.0,2017-03-29,2017-03-29
1237,Luke Kramer,Bethpage,NY,1,12420.7,10.0,2016-03-01,2016-03-01
1086,Cori Schwartz,Jamaica,NY,1,12400.84,6.0,2017-08-19,2017-08-19
1090,Ira Erickson,Port Jefferson Station,NY,1,12392.95,5.0,2017-10-15,2017-10-15
1258,Todd Waters,Bay Shore,NY,1,12381.82,8.0,2018-01-12,2018-01-12
203,Minerva Decker,Houston,TX,1,12369.62,8.0,2018-01-06,2018-01-06
1103,Ardelia Cooley,Canyon Country,CA,1,12334.95,5.0,2016-12-12,2016-12-12
194,Dorine Roberson,Santa Cruz,CA,2,12320.11,11.0,2017-08-09,2018-04-03
1332,Novella Ross,Glendora,CA,1,12307.96,4.0,2017-04-15,2017-04-15
690,Yevette Elliott,Jackson Heights,NY,1,12104.78,7.0,2017-03-12,2017-03-12
905,Hae Ramirez,Baldwinsville,NY,1,12089.98,2.0,2018-01-10,2018-01-10
135,Dorthey Jackson,Houston,TX,2,12026.93,10.0,2017-03-09,2018-11-28
138,Jone Bernard,Anaheim,CA,2,12010.48,14.0,2017-06-14,2018-04-27
1195,Chantell Bridges,Buffalo,NY,1,11993.97,3.0,2017-05-13,2017-05-13
29,Syreeta Hendricks,Mahopac,NY,2,11979.94,6.0,2017-01-21,2018-04-22
330,Sheba Knapp,Woodside,NY,1,11972.92,8.0,2018-03-18,2018-03-18
1019,Janie Herrera,Elmhurst,NY,1,11950.47,6.0,2016-07-15,2016-07-15
165,Jeromy Burch,San Jose,CA,2,11907.89,11.0,2017-11-29,2018-04-27
322,Merideth Preston,Poughkeepsie,NY,1,11832.45,5.0,2017-12-16,2017-12-16
747,Margret Barnett,Forney,TX,1,11831.33,5.0,2017-09-01,2017-09-01
509,Terra Pickett,Amsterdam,NY,1,11787.55,5.0,2017-11-23,2017-11-23
104,Katharina Bates,Campbell,CA,2,11776.4,10.0,2016-11-13,2018-04-24
48,Cesar Jackson,Liverpool,NY,2,11705.84,12.0,2017-10-23,2018-04-23
473,Lashawna Richardson,Baldwin,NY,1,11596.42,8.0,2017-04-27,2017-04-27
871,Erlinda Humphrey,New Windsor,NY,1,11588.64,9.0,2017-05-11,2017-05-11
583,Lashandra Turner,Long Beach,NY,1,11578.65,7.0,2016-01-25,2016-01-25
627,Deloris Larson,Duarte,CA,1,11479.53,7.0,2016-07-12,2016-07-12
275,Pinkie Kirkland,San Angelo,TX,1,11476.53,9.0,2017-09-13,2017-09-13
224,Moses Pope,Lawndale,CA,2,11471.88,14.0,2017-05-07,2018-04-23
462,Efren Oliver,Nanuet,NY,1,11463.95,5.0,2017-11-06,2017-11-06
350,Christoper Mccall,Bay Shore,NY,1,11462.59,7.0,2016-06-13,2016-06-13
1136,Kallie Best,Rochester,NY,1,11428.65,7.0,2017-11-19,2017-11-19
541,Lanita Burton,Coachella,CA,1,11406.42,8.0,2016-01-14,2016-01-14
375,Yan Trevino,Uniondale,NY,1,11391.42,8.0,2017-11-19,2017-11-19
415,Gwendolyn Miller,Harlingen,TX,1,11349.95,5.0,2017-04-06,2017-04-06
780,Ouida Gregory,Merrick,NY,1,11314.07,4.0,2016-06-25,2016-06-25
1284,Shanice Spears,Brooklyn,NY,1,11299.97,3.0,2017-12-09,2017-12-09
1423,Dollie Cervantes,Fort Worth,TX,1,11238.65,6.0,2017-06-26,2017-06-26
547,Tena Huber,Newburgh,NY,1,11183.04,6.0,2018-02-14,2018-02-14
1348,Yvone Guerrero,Merrick,NY,1,11183.03,6.0,2016-01-20,2016-01-20
65,Kanesha Vega,Rome,NY,2,11151.6,9.0,2016-05-27,2018-04-20
880,Phebe Turner,Sunnyside,NY,1,11120.32,6.0,2017-06-17,2017-06-17
20,Aleta Shepard,Sugar Land,TX,3,11102.46,10.0,2016-11-09,2018-04-12
798,Alyse Jacobson,Massapequa Park,NY,1,11062.41,9.0,2017-09-05,2017-09-05
295,Danny Kim,South Ozone Park,NY,1,11055.93,7.0,2017-02-13,2017-02-13
609,Eliana Reese,Woodhaven,NY,1,11035.84,6.0,2017-05-23,2017-05-23
34,Brittney Woodward,East Northport,NY,2,11035.75,6.0,2017-10-16,2018-04-14
159,Regina Burns,Garland,TX,1,11013.93,7.0,2016-06-22,2016-06-22
783,Celestine Kent,Lancaster,NY,1,10998.02,8.0,2017-10-28,2017-10-28
997,Trinidad Mcclain,Baldwin,NY,1,10986.9,5.0,2016-09-22,2016-09-22
810,Ivelisse Nixon,Houston,TX,1,10951.55,7.0,2017-09-20,2017-09-20
196,Edythe Valencia,North Tonawanda,NY,1,10949.94,6.0,2017-05-09,2017-05-09
245,Delila Hamilton,Palos Verdes Peninsula,CA,1,10869.96,4.0,2017-01-29,2017-01-29
403,Elouise Fry,Canyon Country,CA,1,10866.96,4.0,2016-03-16,2016-03-16
89,Arvilla Osborn,Upland,CA,2,10805.33,5.0,2017-11-05,2018-04-21
68,Jayne Kirkland,Rowlett,TX,3,10802.62,8.0,2017-06-02,2018-04-09
550,Felicidad Golden,Lockport,NY,1,10794.35,5.0,2017-01-06,2017-01-06
1018,Carita Salinas,Maspeth,NY,1,10792.24,6.0,2017-03-15,2017-03-15
888,Coleen Navarro,Webster,NY,1,10728.43,7.0,2017-10-01,2017-10-01
27,Santos Valencia,Sunnyside,NY,2,10719.09,11.0,2016-12-29,2018-04-01
815,Leanna Manning,Hicksville,NY,1,10620.04,8.0,2016-05-06,2016-05-06
1312,Tereasa Bird,Ronkonkoma,NY,1,10617.97,3.0,2017-02-15,2017-02-15
576,Shirely Stanley,El Paso,TX,1,10574.96,4.0,2016-08-22,2016-08-22
247,Muriel Juarez,Palos Verdes Peninsula,CA,1,10570.47,3.0,2018-01-15,2018-01-15
1205,Emmaline Huber,Mount Vernon,NY,1,10563.64,7.0,2016-07-05,2016-07-05
1138,Hubert Stone,Ridgecrest,CA,1,10541.96,4.0,2017-02-20,2017-02-20
867,Rosalva Hamilton,Campbell,CA,1,10529.96,4.0,2017-06-16,2017-06-16
1443,Lezlie Lamb,Central Islip,NY,1,10372.09,7.0,2016-11-15,2016-11-15
1440,Ernest Rollins,Oakland Gardens,NY,1,10360.25,7.0,2016-09-28,2016-09-28
30,Jamaal Albert,Torrance,CA,3,10355.38,14.0,2016-08-03,2018-04-18
543,Jasmin Young,Helotes,TX,1,10336.96,4.0,2017-02-06,2017-02-06
147,Bernetta Marquez,Smithtown,NY,1,10322.97,3.0,2017-02-26,2017-02-26
126,Lavina Dejesus,Newburgh,NY,1,10314.92,8.0,2018-03-07,2018-03-07
255,Flossie Holder,Massapequa Park,NY,1,10269.85,5.0,2017-03-04,2017-03-04
463,Jerlene Rios,Plainview,NY,1,10266.95,5.0,2018-03-15,2018-03-15
